Pincode,Area,City,Address,Landmark,Latitude,Longitude,Category,Rating,Name
560037.0,"Ramanjaneya Layout, Aswath Nagar, Marathahalli",Bengaluru,"76, 5th Cross Rd, beside asirwad hotel, beside HP gas","Ramanjaneya Layout, Aswath Nagar, Marathahalli",12.9608986,77.699961,Hostel,5.0,SRI VISHNU PG FOR LADIES
560037.0,"Spice Garden Layout, Lakshminarayana Pura, AECS Layout, Munnekollal",Bengaluru,"Marathahalli, near Accenture","Spice Garden Layout, Lakshminarayana Pura, AECS Layout, Munnekollal",12.9589426,77.7084164,Hostel,4.0,Zolo Mustard Co-Living | Redefining PG
560037.0,"Kaveri Layout, Marathahalli Village, Marathahalli",Bengaluru,"Chandra Gowri Nilaya, 10th Main Rd, behind Innovative Multiplex","Kaveri Layout, Marathahalli Village, Marathahalli",12.9520119,77.6974223,Hostel,3.3,Suyash PG
560037.0,"Raghavendra Layout, Gandhi Nagar, Marathahalli",Bengaluru,"1st Cross Rd, behind Yashomati Hospital, Yelahanka","Raghavendra Layout, Gandhi Nagar, Marathahalli",12.954909,77.7106108,Hostel,4.0,Zolo Asmi Co-Living | Redefining PG
560037.0,"Aswath Nagar, Marathahalli",Bengaluru,"2main, 2nd Cross Rd","Aswath Nagar, Marathahalli",12.957451,77.7038386,Hostel,4.7,GVS PG FOR GENTS
560037.0,"Aswath Nagar, Marathahalli",Bengaluru,"1st Cross Rd, opposite Kalamandir","Aswath Nagar, Marathahalli",12.9606085,77.7005201,Hostel,4.3,Rentorio Rachel Green Ladies Pg
560037.0,"Subbaiah Reddy Colony, Marathahalli Village, Marathahalli",Bengaluru,"Marathahalli Bridge, HAL Main Road, behind Kalyani Jewelers","Subbaiah Reddy Colony, Marathahalli Village, Marathahalli",12.9563172,77.6994538,Hostel,3.8,Sri Balaji Ladies PG - Marathahalli
560037.0,"Aswath Nagar, Marathahalli",Bengaluru,"sree rama pg for gents, 97, 5th Cross Rd","Aswath Nagar, Marathahalli",12.9587647,77.7024405,Hostel,4.0,Sree Rama PG for gents
560037.0,"Anand Nagar, Aswath Nagar, Marathahalli",Bengaluru,"289, 11th Cross Rd","Anand Nagar, Aswath Nagar, Marathahalli",12.9597079,77.7032417,Hostel,4.1,Hostel
560037.0,"7th Cross, Kalamandir, Marathahalli",Bengaluru,XM4X+85J,"7th Cross, Kalamandir, Marathahalli",12.9558333,77.6979009,Hostel,2.0,7 Hills Mens PG
