Pincode,Area,City,Address,Landmark,Latitude,Longitude,Category,Rating,Name
600034,"Jayalakshmipuram, Nungambakkam",Chennai,"12/1/B1, 4th St","Jayalakshmipuram, Nungambakkam",13.0613146,80.24095919999999,Hostel,3.4,Lakshya Villa - Best Mens Hostel | Boys Hostel | Mens PG Hostel in Nungambakkam
600034,"Kamdar Nagar, Nungambakkam",Chennai,"1, Vaikundapuram 2nd St","Kamdar Nagar, Nungambakkam",13.0554285,80.2371149,Hostel,1.0,Vivin men's hostel
600034,"Ponnangipuram, Nungambakkam",Chennai,"No.9, Jagannathan St, near Star Vijay Television","Ponnangipuram, Nungambakkam",13.060846,80.244688,Hostel,3.1,Kings Cross Men's Hostel
600034,Nungambakkam,Chennai,"No. 12, sterling road, 3rd Cross St",Nungambakkam,13.0659514,80.23672499999999,Hostel,3.7,COMFY INN FOR HER-LADIES HOSTEL
600034,"Jayalakshmipuram, Seetha Nagar, Nungambakkam",Chennai,"7, 3rd St","Jayalakshmipuram, Seetha Nagar, Nungambakkam",13.0619549,80.2413526,Hostel,4.9,✅Muskan Ladies Hostel In Nungambakkam
600034,"Pushpa Nagar, Nungambakkam",Chennai,"23/11, Jambulingam St","Pushpa Nagar, Nungambakkam",13.0582929,80.24144799999999,Hostel,3.1,Sai Lakshmi Hostel
600034,"Ponnangipuram, Tirumurthy Nagar, Nungambakkam",Chennai,"61/33, Rama St","Ponnangipuram, Tirumurthy Nagar, Nungambakkam",13.0568707,80.2431587,Hostel,2.7,Kaveri women's hostel
600034,"Ponnangipuram, Nungambakkam",Chennai,"28, New St","Ponnangipuram, Nungambakkam",13.060526,80.2440699,Hostel,3.0,"SAI HOSTEL, Nungambakkam, Gents only"
600004,"Tirumurthy Nagar, Nungambakkam",Chennai,"No.19,TMA Towers, 3rd Floor Thirumoorthy Nagar Main Road Nungambakkam Chennai - 600034","Tirumurthy Nagar, Nungambakkam",13.0557855,80.24703459999999,Hostel,2.5,"Kings Cross Hostel, Best Men,s pg , Boys hostel in Nungambakkam."
600034,"Lake Area, Nungambakkam",Chennai,"20, 21, 1st Cross St","Lake Area, Nungambakkam",13.0563365,80.240405,Hostel,3.8,Zolo Zentrum Co-Living | Redefining PG
600034,"Tirumurthy Nagar, Nungambakkam",Chennai,3/8,"Tirumurthy Nagar, Nungambakkam",13.0595846,80.2462247,Hostel,2.0,The Crescent Hostel
600034,"Subba Road Avenue, Nungambakkam",Chennai,"60, 1, Nungambakkam High Rd, near Bata Showroom","Subba Road Avenue, Nungambakkam",13.0636603,80.24472639999999,Hostel,3.9,Catherine Ladies Hostel
