Area,Latitude,Longitude
Nungambakkam,13.0620626,80.240487
Adyar,13.00645,80.2577791
Anna Nagar,13.0872004,80.2164421
Besant Nagar,12.9996907,80.2682259
Porur,13.052959,80.2346238
Sholinganallur,12.9598317,80.2450347
Velachery,12.9914634,80.2195955
Siruseri,12.8500231,80.2266055
Alwarpet,13.0338602,80.2545491
Gopalapuram,13.0497324,80.2582028
Madipakkam,12.9611348,80.2001292
Mylapore,13.0316473,80.2700166
Royapettah,13.0554718,80.2639706
Teynampet,13.0443237,80.2498455
Thoraipakkam,12.9490504,80.2178047
