Pincode,Area,City,Address,Landmark,Latitude,Longitude,Category,Rating,Name
122009,"Block C, Sushant Lok Phase I, Sector 43",Gurugram,House No. 1491,"Block C, Sushant Lok Phase I, Sector 43",28.4537895,77.0864773,Hostel,1.5,PG in Sushant Lok - Blossom Stayz
122002,"Sushant Lok, Block C, Sushant Lok Phase I, Sector 43",Gurugram,c2024,"Sushant Lok, Block C, Sushant Lok Phase I, Sector 43",28.4523176,77.0827723,Hostel,4.5,The Tree
122022,"Sushant Lok Phase I, Sector 27",Gurugram,452-B,"Sushant Lok Phase I, Sector 27",28.4645371,77.07737279999999,Hostel,4.8,PG accommodation in Sushant Lok
122009,"Block C, Sushant Lok Phase I, Sector 43",Gurugram,"C block C2232, Sector 43 Rd","Block C, Sushant Lok Phase I, Sector 43",28.4488596,77.07992109999999,Hostel,4.1,C2232 GIRLS PG
122009,"Sushant Lok Phase I, Sector 43",Gurugram,F37G+9G6,"Sushant Lok Phase I, Sector 43",28.463414,77.0762745,Hostel,3.7,Paying Guest Sushant Lok
122009,Sushant Lok Phase I,Gurugram,"House B-780 , B Block, near Huda City Metro Station",Sushant Lok Phase I,28.4610109,77.0814068,Hostel,4.6,The Safehouse PG
122009,"Block B, Sector 43",Gurugram,F36G+684,"Block B, Sector 43",28.4605012,77.0758242,Hostel,2.375644589292487,Hazelnut Casa
122002,"Block C2, Sushant Lok Phase I, Sector 43",Gurugram,87,"Block C2, Sushant Lok Phase I, Sector 43",28.45711,77.08710599999999,Hostel,3.4,Gurgaon Safe Stay Pg
122002,"Block C, Sushant Lok Phase I, Sector 43",Gurugram,Sushant Lok Rd,"Block C, Sushant Lok Phase I, Sector 43",28.4549331,77.08851539999999,Hostel,5.0,GRG1677 Sushant lok Ph-1
122001,"Sushant Lok III Extension, Sector 57",Gurugram,Boom Plaza,"Sushant Lok III Extension, Sector 57",28.4175046,77.07565079999999,Hostel,3.0,GRG1587 Sushant Lok III
122002,"Block C, Sushant Lok Phase I, Sector 43",Gurugram,1005,"Block C, Sushant Lok Phase I, Sector 43",28.459576,77.083614,Hostel,4.0,P.G for Girls
122009,"Sushant Lok Phase I, Sector 27",Gurugram,"B-520, Sushant Lok Rd","Sushant Lok Phase I, Sector 27",28.4619415,77.0772887,Hostel,4.0,Bhutani Pg
122001,"Block B1, Sector 57",Gurugram,3278,"Block B1, Sector 57",28.4235833,77.079756,Hostel,4.0,GRG1342 Sushant Lok Phase 3
122003,"Sushant Lok 2, Sector 55",Gurugram,"A-1/408, Golf Course Rd","Sushant Lok 2, Sector 55",28.4275837,77.10847799999999,Hostel,5.0,Shivam Homes PG
122002,"Block A, Sushant Lok Phase I, Sector 28",Gurugram,A852F,"Block A, Sushant Lok Phase I, Sector 28",28.4727522,77.0769313,Hostel,3.5,CoHo Sushant Lok Girls Villa
122002,Sector 43,Gurugram,"C 2626, C Block Near Unitech Trade Center, Sushant Lok Rd",Sector 43,28.4551445,77.0780262,Hostel,3.9,Spacious Girls PG
