Pincode,Area,City,Address,Landmark,Latitude,Longitude,Category,Rating,Name
500034.0,"Green Valley, Banjara Hills",Hyderabad,"Plot No 125, Banjara Hills Rd Number 3","Green Valley, Banjara Hills",17.422947399999998,78.4387581,Hostel,4.0,SANGEETA PAYING GUEST ACCOMMODATION FOR GIRLS
500034.0,"Sri Ram Nagar Colony, Banjara Hills",Hyderabad,"44b, Rd Number 13","Sri Ram Nagar Colony, Banjara Hills",17.4097009,78.4450201,Hostel,3.0059093767215455,Uma Maheshwari Hostel
500034.0,"Green Valley, Banjara Hills",Hyderabad,"Plot no, 132, Banjara Hills Rd Number 3","Green Valley, Banjara Hills",17.4232558,78.4383376,Hostel,3.8,Anvitas Paying Guest Accomodation For Women
500034.0,"Devera Konda Basti, Green Valley, Banjara Hills",Hyderabad,"#8-2-375/2,Rd, No.5, Devarkonda Basti Rd, behind TV9 Office","Devera Konda Basti, Green Valley, Banjara Hills",17.423955,78.44377399999999,Hostel,3.0,Vaibhav Gents Hostel
500034.0,"Fortune Enclave, Sri Ram Nagar Colony, Banjara Hills",Hyderabad,"KBR13 Apartments, Sriram nagar Colony, Rd Number 13","Fortune Enclave, Sri Ram Nagar Colony, Banjara Hills",17.410054499999998,78.4403833,Hostel,4.4,AG living spaces Banjarahills Paying Guest
500034.0,"Gouri Shankar Nagar Colony, Banjara Hills",Hyderabad,"8-2-603/B/33/A/5Gouri Shankar Nagar Colony, 500873","Gouri Shankar Nagar Colony, Banjara Hills",17.4145254,78.438575,Hostel,3.2,BANJARA PG GUEST HOUSE
500034.0,"NBT Nagar, Banjara Hills",Hyderabad,Banjara Hills Rd Number 10,"NBT Nagar, Banjara Hills",17.4086711,78.4308464,Hostel,5.0,Lakhotia
500034.0,"Sri Ram Nagar Colony, Banjara Hills",Hyderabad,"8-2-676/1, B/30/8, Road No. 12","Sri Ram Nagar Colony, Banjara Hills",17.4082199,78.4470515,Hostel,4.0,Banjara men’s hostel
500073.0,"Sagar Society, Sri Nagar Colony, Aurora Colony, Banjara Hills",Hyderabad,8-3-1060/B,"Sagar Society, Sri Nagar Colony, Aurora Colony, Banjara Hills",17.429765,78.437961,Hostel,2.7,Sri Rama Men's Hostel
500034.0,"Sri Rama Colony, Banjara Hills",Hyderabad,"Road No. 12, Near BSNL Office","Sri Rama Colony, Banjara Hills",17.408824199999998,78.4463207,Hostel,4.5,Beehive Commune Hyderabad
