Area,Latitude,Longitude
Banjara Hills,17.4177464,78.4399014
Jubilee Hills,17.4308362,78.4102882
Abids,17.3894783,78.477182
Miyapur,17.4981608,78.3567628
Uppal Kalan,17.3984,78.5583
Himayatnagar,17.3990218,78.4857708
Sanjeeva Reddy Nagar,17.4421637,78.4440017
Ameerpet,17.4375012,78.4482505
Begumpet,17.4440199,78.4624821
Kukatpally,17.4930841,78.4054408
Somajiguda,17.4255053,78.4585197
Lingampally,17.4881832,78.316112
Dilsukhnagar,17.3684433,78.5228597
Madhapur,17.4408924,78.3916304
Kondapur,17.4587912,78.3730556
Gachibowli,17.4436222,78.3519638
HITEC City,17.4508058,78.3834535
Nallagandla,17.4774828,78.3060359
Manikonda,17.39999505,78.38616893
Chandanagar,17.4872976,78.3322142
