Pincode,Area,City,Address,Landmark,Latitude,Longitude,Category,Rating,Name
208017,"Gooba Gardens, Ashok Nagar, Kalyanpur",Kanpur,635,"Gooba Gardens, Ashok Nagar, Kalyanpur",26.5038395,80.25078409999999,Hostel,3.6,Shree Hari Bhan Hostel
208019,"Rajivpuram, Bashir Bagicha",Kanpur,116/630,"Rajivpuram, Bashir Bagicha",26.4806225,80.282774,Hostel,4.3,Bhk hostel
208002,"Khalasi Line, Swaroop Nagar",Kanpur,"112/7 -B&C, Benajhabar Rd","Khalasi Line, Swaroop Nagar",26.4792144,80.32129719999999,Hostel,4.7,WAQAR Hostel (PG)
208001,"Kanpur Vidya Mandir, Khalasi Line, Swaroop Nagar",Kanpur,F8M8+896,"Kanpur Vidya Mandir, Khalasi Line, Swaroop Nagar",26.4832981,80.31588459999999,Hostel,1.0,Agarwal Girls PG
208012,"Gumti No.5, Kaushalpuri, Darshan Purwa",Kanpur,118/60 A,"Gumti No.5, Kaushalpuri, Darshan Purwa",26.4707633,80.3133703,Hotel,3.4,Sakhi Girls Hostel
208007,"Bangali Colony, Krishna Nagar",Kanpur,"3,Gandhi Gram,Sukhdham Colony,G.T.Road","Bangali Colony, Krishna Nagar",26.41735,80.379036,Hostel,3.1,Paying Guest
208025,"L Block, Navin Nagar, Kakadeo",Kanpur,117/309,"L Block, Navin Nagar, Kakadeo",26.4752033,80.2899316,Hostel,2.449433587916041,Hostel
208025,"Hitkari Nagar, Navin Nagar, Kakadeo",Kanpur,117/P/215,"Hitkari Nagar, Navin Nagar, Kakadeo",26.4793144,80.2869271,Hostel,4.1,R D hostel
208002,"Chandra Shekhar Azad University of Agriculture and, Nawabganj",Kanpur,F8Q4+98V,"Chandra Shekhar Azad University of Agriculture and, Nawabganj",26.4884796,80.30579689999999,Hostel,4.5,Subhash Chandra Bose Hostel
208025,"Near Kulwanti Hospital, Geeta Nagar, Sarvodya Nagar",Kanpur,"Infront of, 117/K/33, RS Puram, Kakadeo Rd, behind Prabhat Public School","Near Kulwanti Hospital, Geeta Nagar, Sarvodya Nagar",26.4824184,80.29545879999999,Hostel,3.6,R S Girls Hostel
208017,"Gooba Gardens, Kalyanpur",Kanpur,"G723+M43, Puranishivali Road","Gooba Gardens, Kalyanpur",26.5016419,80.2527894,Hostel,2.5,Sr girls hostel
208006,"Vidyarthi Market, Govind Nagar",Kanpur,"No.9, Govind Nagar Rd","Vidyarthi Market, Govind Nagar",26.4483888,80.30870399999999,Hostel,3.4,Kailash Dham Boys Hostel
208019,"Chhapeda Pulia, Geeta Nagar, Kakadeo",Kanpur,117o,"Chhapeda Pulia, Geeta Nagar, Kakadeo",26.4855506,80.29288919999999,Hostel,2.992255395339587,Hostel
208005,"R.S.Puram, Geeta Nagar, Kakadeo",Kanpur,"117/53 RS PURAM K-BLOCK SARVODAY NAGAR, near PRABHAT PUBLIC SCHOOL","R.S.Puram, Geeta Nagar, Kakadeo",26.48082,80.2940179,Hostel,2.1,BHUVI DEV HOSTEL
208025,"Tulsi Nagar, Navin Nagar, Kakadeo",Kanpur,"117, N/183, Kakadav Road","Tulsi Nagar, Navin Nagar, Kakadeo",26.4768398,80.2931936,Hostel,3.1,Naman Girls Hostel
208007,"HAL Colony, Jajmau",Kanpur,"448,Shankar Nagar(OPP-H.A.L Township), G.T.Road, NH 2","HAL Colony, Jajmau",26.4082277,80.3909106,Hostel,3.7,Modern Boy's Hostel
208002,"Khalasi Line, Arya Nagar",Kanpur,"8/104, lane, near sonkar gas","Khalasi Line, Arya Nagar",26.48341,80.321702,Hostel,5.0,Mathur Girls PG
208001,"Green Park, Civil Lines",Kanpur,"F8HW+V8Q, Unnamed Road","Green Park, Civil Lines",26.4797202,80.3458503,Hostel,4.3,MG Hostel
208025,"Tulsi Nagar, Navin Nagar, Kakadeo",Kanpur,117/N/50 1st floor block,"Tulsi Nagar, Navin Nagar, Kakadeo",26.4808523,80.2903829,Hostel,4.0,Hostel and PG Room
208012,"Gumti No.5, Kaushalpuri, Darshan Purwa",Kanpur,118/185,"Gumti No.5, Kaushalpuri, Darshan Purwa",26.4676179,80.3144466,Hostel,4.1,welcome home girls pg
208025,"Old Basti, Tulsi Nagar, Navin Nagar, Kakadeo",Kanpur,117/N/278,"Old Basti, Tulsi Nagar, Navin Nagar, Kakadeo",26.4796363,80.2888073,Hostel,4.9,Royal Girls Hostel
208005,Pandu Nagar,Kanpur,"gurdwara, 117/h-2/110",Pandu Nagar,26.4736823,80.29513879999999,Hostel,3.5,Shyam girls hostel
208012,"Ashok Nagar, Harsh Nagar",Kanpur,111A/243,"Ashok Nagar, Harsh Nagar",26.4712704,80.3171564,Hotel,3.5,Brij hotel
