Id,Area,Latitude,Longitude
1,Ashok Nagar,26.4230418,80.3218056
2,Azad Nagar,26.5017535,80.30662539658493
3,Bhauti,26.4476386,80.1934268
4,Barra,26.4368491,80.2919352
5,Civil Lines,26.4760088,80.3465098
6,Govind Nagar,26.4665649,80.3053724
7,Kakadev,26.4735503,80.2929783
8,Kalyanpur,26.2426,80.5226
9,Kidwai Nagar,26.4409888,80.3419876
10,Lajpat Nagar,26.464860950000002,80.3065801055888
11,Lal Bangla,26.4212293,80.3895123
12,Mall Road,26.466405,80.3595254
13,Naubasta,26.4065616,80.324038
14,Pandu Nagar,26.473953700000003,80.2967013536802
15,Panki,26.4595614,80.2390699
16,Saket Nagar,26.0926,80.6726
17,Sarvodaya Nagar,26.0826,80.6826
18,Shastri Nagar,26.0726,80.6926
19,Shyam Nagar,26.500529,80.2570769
20,Swaroop Nagar,26.0526,80.7126
21,Shanti Nagar,26.412936,80.3246691
