Pincode,Area,City,Address,Landmark,Latitude,Longitude,Category,Rating,Name
226010,"Vishal Khand - 4, Vishal Khand, Gomti Nagar",Lucknow,"5, 39, Vishal Khand 4","Vishal Khand - 4, Vishal Khand, Gomti Nagar",26.8522371,80.9925641,Hostel,4.6,Go Awadh
226010,"Viraj Khand - 5, Viraj Khand, Gomti Nagar",Lucknow,"ecogram, 5/433","Viraj Khand - 5, Viraj Khand, Gomti Nagar",26.8590837,81.027585,Hostel,4.2,Habitat Boy's PG
226010,"Vineet Khand 1, Gomti Nagar",Lucknow,C-1/189,"Vineet Khand 1, Gomti Nagar",26.8499162,81.0104155,Hostel,3.2,Ashirwad Boys Hostel
226010,"Viram Khand 1, Gomti Nagar",Lucknow,"B- 111, near Malik timber chauraha","Viram Khand 1, Gomti Nagar",26.8517735,81.0038909,Hostel,4.5,Jain girls pg at gomtinagar
226010,"Vineet Khand, Gomti Nagar",Lucknow,L-2/755,"Vineet Khand, Gomti Nagar",26.849092,81.012461,Hostel,3.3,P.G. for Boys
226010,"Vivek Khand 1, Gomti Nagar",Lucknow,Railway Station Rd,"Vivek Khand 1, Gomti Nagar",26.8607037,81.0005805,Hostel,3.7,Satnam Boyes PG and Hostel
226010,"Vibhuti Khand, Gomti Nagar",Lucknow,"VX9X+WPG, Vibhuti Khand Flyover","Vibhuti Khand, Gomti Nagar",26.869806,80.9993276,Hostel,2.9,Smiriti Girls Hostel
226010,"Virat Khand 2, Gomti Nagar",Lucknow,2/212,"Virat Khand 2, Gomti Nagar",26.852008,81.018597,Hostel,3.6,Lucknow Girls PG
226010,Gomti Nagar,Nijampur Malhaur,V323+V29,Gomti Nagar,26.8521585,81.0526228,Hostel,3.6,Hostel for Boys
226010,"Vidhayak Puram, Vinay Khand 3, Gomti Nagar",Lucknow,"B, 3/253, Railway Station Rd","Vidhayak Puram, Vinay Khand 3, Gomti Nagar",26.85935,81.00265499999999,Hostel,2.9,AMOL BOYS HOSTEL
226001,"Vishal Khand - 4, Vishal Khand, Gomti Nagar",Lucknow,"4/209, near Jain Mandir","Vishal Khand - 4, Vishal Khand, Gomti Nagar",26.8511316,80.9917744,Hostel,5.0,S S Boys Hostel & Paying Guest
226010,"Virat Khand -1, Gomti Nagar",Lucknow,"1/111, GomtiNagar","Virat Khand -1, Gomti Nagar",26.8531874,81.017631,Hostel,2.0,Vardhaman Girls Hostel Pg
226010,"Vivek Khand 4, Gomti Nagar",Lucknow,4/400,"Vivek Khand 4, Gomti Nagar",26.8547444,80.998526,Hostel,4.0,Neelam Boys Hostel
226010,"Vinamra Khand, Gomti Nagar",Lucknow,"3, 3/28","Vinamra Khand, Gomti Nagar",26.860668,81.0242501,Hostel,3.8,Aditya P.G (Boys Hostel)
226010,"Vishal Khand 2, Vishal Khand, Gomti Nagar",Lucknow,2/310,"Vishal Khand 2, Vishal Khand, Gomti Nagar",26.8497073,80.9851592,Hostel,4.6,Royal boys hostel and PG
226010,"Vibhav Khand, Gomti Nagar",Lucknow,"Bhrigu building bhrigu Tiraha, 1/143, near mantri awas","Vibhav Khand, Gomti Nagar",26.8601243,81.0194262,Hostel,4.7,Bhrigu Boy's Hostel
226010,"Vivek Khand 1, vivek khand_1",Lucknow,"H.No. 18/1 NAWAB PURWA NEAR PATRAKARPURAM GOMTI NAGAR, adjacent Ramji Plywood","Vivek Khand 1, vivek khand_1",26.8607194,81.00102869999999,Hostel,2.2,TYAGI PG HOSTEL or DOCTAR BOY'S PG HOSTEL
226010,"Vibhav Khand -4, Vibhav Khand, Gomti Nagar",Lucknow,"4/580A, Gomti Nagar Rd","Vibhav Khand -4, Vibhav Khand, Gomti Nagar",26.8612826,81.0218794,Hostel,3.0,GIRLS PG
