Pincode,Area,City,Address,Landmark,Latitude,Longitude,Category,Rating,Name
411001,"Iricen Railway Colony, Koregaon Park",Pune,"Iricen Railway Colony, 87 s main rd, S Main Rd","Iricen Railway Colony, Koregaon Park",18.5330933,73.88949029999999,Hostel,3.6,"Samajkalyan Hostel, Koregaon Park"
411001,"Ragvilas Society, Koregaon Park",Pune,"301, PARKVIEW TERRACE SOCIETY, LANE NO-4, A, N Main Rd","Ragvilas Society, Koregaon Park",18.5396895,73.8944705,Hostel,4.9,Shri Sai Girls PG Hostel Koregaon Park Pune
411001,"Liberty Phase 2, Ragvilas Society, Koregaon Park",Pune,"A-5, Liberty Rd","Liberty Phase 2, Ragvilas Society, Koregaon Park",18.540603,73.89751079999999,Hostel,1.280584953866858,Riverside liberty sosiety
411001,"Ganga Fortune Society, Liberty Phase 2, Ragvilas Society, Koregaon Park",Pune,"Plot 31, SNo.31, 1, N Main Rd","Ganga Fortune Society, Liberty Phase 2, Ragvilas Society, Koregaon Park",18.5385924,73.8981914,Hostel,4.4,Urban Nomads Pods I Co-live & Co-work
411001,"C, Ragvilas Society, Koregaon Park",Pune,"302/63, C Ln","C, Ragvilas Society, Koregaon Park",18.5410156,73.8909948,Hostel,4.6,Hoshtel99
411001,"Liberty Phase 2, Ragvilas Society, Koregaon Park",Pune,"Liberty Phase II, C/ 36, N Main Rd","Liberty Phase 2, Ragvilas Society, Koregaon Park",18.5403083,73.8964692,Hostel,3.3,GetSetHome - PG In Koregaon Park
411001,"Ragvilas Society, Koregaon Park",Pune,"36A, C Ln","Ragvilas Society, Koregaon Park",18.5411803,73.8909651,Hostel,3.7,Hostell One
411001,"Ragvilas Society, Koregaon Park",Pune,"25A, C Ln, beside budhha paradise cafe","Ragvilas Society, Koregaon Park",18.5400275,73.891224,Hostel,4.6,Jugglers Backpack
411001,"Liberty Phase 2, Ragvilas Society, Koregaon Park",Pune,"A/2 The Voyage, Ashiyana park, Koregaon Park, Lane - 5, N Main Rd, beside Wellness Forever","Liberty Phase 2, Ragvilas Society, Koregaon Park",18.5394565,73.89759579999999,Hotel,4.8,The Voyage | Cafe | Hostel | Co-work
411001,"Ragvilas Society, Koregaon Park",Pune,"B/49/B, Gurudutt Avenune Road Anna Maggi Point","Ragvilas Society, Koregaon Park",18.5420493,73.89098779999999,Hostel,2.6,PUN867 Koregaon Park
411001,"Suyojana Society, Kavadewadi, Koregaon Park",Pune,"CTS No. 120, Lane Number 4","Suyojana Society, Kavadewadi, Koregaon Park",18.5378914,73.894587,Hostel,4.2,Backpacker Panda
411001,"Liberty Phase 2, Ragvilas Society, Koregaon Park",Pune,"Liberty Phase1, Bungalow No-5 North Main Road, opposite Lane 6","Liberty Phase 2, Ragvilas Society, Koregaon Park",18.5404002,73.8989525,Hotel,4.6,Urban Nomads Pune | Co-Live & Co-Work
411001,"Vaswani Nagar, Ragvilas Society, Koregaon Park",Pune,N Main Rd,"Vaswani Nagar, Ragvilas Society, Koregaon Park",18.5397097,73.8877455,Hotel,4.2,O Hotel Pune- Koregaon Park
411001,"Vaswani Nagar, Bund Garden, Koregaon Park",Pune,"9, Burning Ghat Rd, Road, behind Bank of india","Vaswani Nagar, Bund Garden, Koregaon Park",18.5411359,73.8868025,Hotel,3.8,Park Central Hotel
411001,"Vaswani Nagar, Ragvilas Society, Koregaon Park",Pune,N Main Rd,"Vaswani Nagar, Ragvilas Society, Koregaon Park",18.5397097,73.8877455,Hotel,4.2,O Hotel Pune- Koregaon Park
411001,"Ragvilas Society, Koregaon Park",Pune,Koregaon Park-E Rd,"Ragvilas Society, Koregaon Park",18.5407938,73.894739,Hotel,4.5,Bloom Hotel - Koregaon Park
411001,"Koregaon Park Annexe, Ghorpadi",Pune,"36/3-B, Mundhwa Rd","Koregaon Park Annexe, Ghorpadi",18.5389872,73.9059319,Hotel,4.4,The Westin Pune Koregaon Park
411011,Sangamvadi,Pune,"361/2-3, Bund Garden Rd",Sangamvadi,18.539609,73.88311159999999,Hotel,4.5,Octave Koregaon Park
411001,"Iricen Railway Colony, Koregaon Park",Pune,"C-20, Lane No. 5, Vidyut Nagar, South Main Road, Koregaon Park, opp. Sanas Corner","Iricen Railway Colony, Koregaon Park",18.5327749,73.8969748,Hotel,4.0,Hotel Cozy Inn
411001,Koregaon Park,Pune,"15/A, Koregaon Rd",Koregaon Park,18.538576,73.8859192,Hotel,3.9,St Laurn Hotel
411001,"Meera Nagar Garden Society, Meera Nagar, Koregaon Park",Pune,"333, Near Cosmos Bank, Lane No. 6, N Main Rd","Meera Nagar Garden Society, Meera Nagar, Koregaon Park",18.5388388,73.8989727,Hotel,3.6,BelAir Suites Pune
411001,"Ragvilas Society, Koregaon Park",Pune,C Ln,"Ragvilas Society, Koregaon Park",18.5412651,73.8909772,Hotel,4.1,Hotel Bestow Inn
411038,"Gujrat Colony, Kothrud",Pune,"88/B, Kai Nanasaheb Sutar Path, above Tirupati Bhel","Gujrat Colony, Kothrud",18.5052048,73.80778219999999,Gym,4.8,Kothrud Fitness Gym
411038,"Maurya Vihar, Kothrud",Pune,"2nd floor, Anusagar Building,Near Kumbare, Township,Kothrud.","Maurya Vihar, Kothrud",18.502424,73.800887,Gym,4.7,ABF- All About Fitness - Gym In Kothrud
411038,"Rambaug Colony, Kothrud",Pune,"Shankar Bhawan, 2nd Floor Shri, Paud Rd","Rambaug Colony, Kothrud",18.5107339,73.8186186,Gym,4.4,"Iron Sanctuary Gym - Available on cult.fit - Gyms in Kothrud, Pune"
411038,"Paschimanagri, Kothrud",Pune,"FRXC+PP5 REVOLUTION MALL, 3rd Floor,at S.No 20/2, Plot. No. CC -3, 3rd Ln, above Big Baazar","Paschimanagri, Kothrud",18.4991341,73.82198319999999,Gym,4.4,Nitrro Wellness and Fitness Hub Kothrud
411038,"Kothrud Industrial Area, Kothrud",Pune,"Haribhau Sane Krida Sankul, 17/1B, Late GA Kulkarni Path, near Joshi Museum Of Miniature Railways","Kothrud Industrial Area, Kothrud",18.5023674,73.8234615,Gym,4.5,Fitranger Gym
411038,"Paud Road, Bhusari Colony, Kothrud",Pune,"A, Runwal Cornet, Above Women's Pantaloons, 4th Floor Paud Road Runwal Paradize","Paud Road, Bhusari Colony, Kothrud",18.5085422,73.79171199999999,Gym,4.6,Fitness365 Gym - Committed To Be Fit
411038,"Chintamani Paradise, Kothrud",Pune,"GQ4X+23X, Suraj Nagar Rd","Chintamani Paradise, Kothrud",18.5051101,73.7977332,Gym,4.2,Sweat Gym
411038,"GaneshKripa Society, Ramkrishna Paramhans Nagar, Kothrud",Pune,"GANESH KRIPA HOS SOC, AMEYA ,PLOT NO 2O-C 2,12TH LANE, VANAZ, near Subway","GaneshKripa Society, Ramkrishna Paramhans Nagar, Kothrud",18.5115872,73.8036491,Gym,5.0,Elite Edge Fitness (Gineel N Fitness)
411038,"Paud Road, Bhusari Colony, Kothrud",Pune,Paud Rd,"Paud Road, Bhusari Colony, Kothrud",18.5093136,73.7941324,Gym,4.7,KettleBell GYM
411038,"Shantiban Cooperative Housing Society, Kothrud",Pune,Dp Road Guru Ganesh Nagar Shantiban commercial complex,"Shantiban Cooperative Housing Society, Kothrud",18.5028988,73.7974321,Gym,4.2,WILD CARD fitness club
411038,"Paschimanagri, Kothrud",Pune,"Chintamani Pride Building, 301, Kothrud, near City Pride, Above Siya Restaurant","Paschimanagri, Kothrud",18.4987217,73.8194039,Gym,4.1,Solaris Chintamani Pride Kothrud
