Station_Name,Code,Latitude,Longitude
AGRA FORT,AF,27.183265,78.018656
AJMER,AII,26.456541,74.637528
ALLAHABAD,ALD,25.44591,81.828732
ALUVA,AWY,10.108261,76.356277
AMRITSAR,ASR,31.63135,74.860343
ANANTAPUR,ATP,14.686436,77.595254
ARA,ARA,25.548666,84.662091
AUNRIHAR,ARJ,25.544842,83.187182
AZIMGANJ JUNCTION,AZ,24.229472,88.259779
ANGAR,AAG,17.928313,75.608418
ADESAR,AAR,23.561184,70.982868
ABADA,ABB,22.547837,88.199689
AMBATURAI,ABI,10.271871,77.924056
AKBARPUR,ABP,26.429211,82.540035
ACHARAPAKKAM,ACK,12.407082,79.821766
ACHARYA NARENDRA DEV NAGAR,ACND,26.775355,82.157692
ANDHERI,ADH,19.116624,72.846583
ADAVALI,ADVI,16.921857,73.592808
AMRELIPARA,AEP,21.608091,71.228301
AGRA CITY,AGA,27.19434,78.015525
AMGURI,AGI,26.812787,94.524097
AGORIKHAS,AGY,24.598675,83.055862
AHALYAPUR,AHLR,26.468393,83.824652
ANJAR,AJE,23.119285,70.036248
AJITWAL,AJL,30.808265,75.335155
AJAIBPUR,AJR,28.472549,77.593543
AKBARNAGAR,AKN,25.235496,86.834947
AKURDI,AKRD,18.648446,73.764481
AKIVIDU,AKVD,16.583049,81.369336
ALAI,ALAI,27.337644,73.58519
ALAMANDA,ALM,18.012087,83.271241
ALWAL,ALW,17.505268,78.514425
AMIN,AMIN,29.904707,76.899785
AMROHA,AMRO,28.892309,78.474342
AMANVADI,AMW,20.36693,77.074247
ANAS,ANAS,22.865291,74.421192
AJANTI,ANI,21.894902,76.286342
ANJANI,ANO,17.621073,73.399818
ANANDPUR SAHIB,ANSB,31.229885,76.500258
ASHOKAPURAM,AP,12.274215,76.635656
ARUPPUKKOTTAI,APK,9.524682,78.10342
APTA,APTA,18.863539,73.15299
ARNETHA,ARE,25.389832,76.018608
ATRAMPUR,ARP,25.572166,81.745725
ARVI,ARVI,20.992795,78.223298
AMBASAMUDRAM,ASD,8.707912,77.438752
ASLU,ASLU,28.368491,75.075029
ASNOTI,AT,14.876276,74.147649
ANTAH,ATH,25.160978,76.307364
ATTAR,ATR,21.999032,76.205146
ATUL,ATUL,20.544953,72.927588
ANUPSHAHR,AUS,28.947992,75.211348
ALAWALPUR,AWL,31.425601,75.642778
AYANDUR,AYD,11.967256,79.341329
AYYAMPET,AZP,10.896378,79.20695
ACHALDA,ULD,26.702152,79.404147
AMBLIYASAN,UMN,23.450058,72.42221
ACHHNERA,AH,27.182138,77.757901
AGRA CANTT,AGC,27.158677,77.989783
AKOLA,AK,20.725291,77.005892
ALAPPUZHA,ALLP,9.483879,76.322297
AMALNER,AN,21.049779,75.0579
ANAKAPALLE,AKP,17.69536,83.008443
ANGUL,ANGL,20.861459,85.099397
ARAKKONAM,AJJ,13.082195,79.66875
AURANGABAD,AWB,19.861826,75.311079
ANKAIKILA,AAK,20.186813,74.437809
ASRANADA,AAS,26.397374,73.305681
AMBLI ROAD,ABD,23.053889,72.493047
